id;valence;doc_type;content_type;title;topic;region;tags;body;steps;source;;;
heart;learn;entry;concept;Kalp;Circulatory System;Heart_External;"heart; organ; pump; circulation";Kalp, dolaşım sisteminin temel organıdır ve kasılıp gevşeyerek kanın vücutta dolaşmasını sağlar.;"[""Kalp kasılma ve gevşeme hareketleri ile kanı pompalar."", ""Akciğerlerden gelen oksijen bakımından zengin kanı dokulara gönderir."", ""Dokulardan dönen oksijen oranı düşük kanı akciğerlere yönlendirir."", ""Kanın damarlar içerisindeki dolaşımı kalbin pompalama işlevine bağlıdır."", ""Kalbin duvarı üç tabakadan oluşur: endokard, miyokard ve epikard."", ""Perikard visseral ve paryetal olmak üzere iki katlıdır."", ""Perikard katmanları arasındaki sıvı kalbin hareketini kolaylaştırır ve sürtünmeyi azaltır.""]";Ders kitabı s.131;;;
basis_cordis;learn;entry;structure;Basis cordis;Circulatory System;Heart_External;"heart; external; base; basis_cordis; location";Kalbin tabanı (basis cordis) üst tarafta yer alır.;;Ders kitabı s.131;;;
apex_cordis;learn;entry;structure;Apex cordis;Circulatory System;Heart_External;"heart; external; apex; apex_cordis; location";Kalbin tepesi (apex cordis) alt tarafta yer alır.;;Ders kitabı s.131;;;
heart_chambers;learn;entry;concept;Kalbin odacıkları;Circulatory System;Heart_Internal;"heart; chambers; atrium; ventricle; anatomy";Kalbin yapısında dört odacık bulunur.;"[""Üst kısımda iki kulakçık (atrium), alt kısımda iki karıncık (ventriculus) yer alır."", ""Kalbin sağ tarafında sağ kulakçık (atrium dexter) ve sağ karıncık (ventriculus dexter), sol tarafında ise sol kulakçık (atrium sinister) ve sol karıncık (ventriculus sinister) bulunur."" , ""Kulakçıkları birbirinden ayıran bölmeye septum interatriale, karıncıkları ayıran bölmeye ise septum interventrikulare denir."" , ""Bu bölmeler sayesinde kalbin sağ tarafındaki kirli kan ile sol tarafındaki temiz kan birbirine karışmaz.""]";Ders kitabı s.131;;;
atrium_dexter;learn;entry;structure;Atrium dexter;Circulatory System;Heart_Internal;"heart; internal; atrium; right";Atrium dexter (sağ kulakçık) kalbin sağ üst odacığıdır.;"[""Üst ana toplardamar ve alt ana toplardamar aracılığıyla vücuttan gelen oksijeni azalmış kan burada toplanır."" , ""Sağ kulakçık bu kanı triküspit kapaktan geçirerek sağ karıncığa gönderir.""]";Ders kitabı s.131;;;
atrium_sinister;learn;entry;structure;Atrium sinister;Circulatory System;Heart_Internal;"heart; internal; atrium; left";Atrium sinister (sol kulakçık) kalbin sol üst odacığıdır.;"[""Akciğerlerden oksijen bakımından zengin kan akciğer toplardamarları aracılığıyla buraya gelir.""  , ""Sol kulakçık bu kanı mitral kapaktan geçirerek sol karıncığa iletir.""]";Ders kitabı s.131;;;
ventriculus_dexter;learn;entry;structure;Ventriculus dexter;Circulatory System;Heart_Internal;"heart; internal; ventricle; right";Ventriculus dexter (sağ karıncık) kalbin sağ alt odacığıdır.;"[""Sağ kulakçıktan gelen oksijeni azalmış kanı akciğerlere gönderir."" , ""Bu kan akciğer atardamarı aracılığıyla akciğerlere taşınır ve burada oksijenlenir.""]";Ders kitabı s.131;;;
ventriculus_sinister;learn;entry;structure;Ventriculus sinister;Circulatory System;Heart_Internal;"heart; internal; ventricle; left";Ventriculus sinister (sol karıncık) kalbin en güçlü kas yapısına sahip odacığıdır.;"[""Sol kulakçıktan gelen oksijen bakımından zengin kanı aort aracılığıyla tüm vücuda pompalar.""]";Ders kitabı s.131;;;
vena_cava_superior;learn;entry;vessel;Üst ana toplardamar;Circulatory System;Heart_External;"heart; vessel; vein";Üst ana toplardamar, baş ve üst vücut bölgelerinden gelen oksijeni azalmış kanı kalbin sağ kulakçığına taşıyan büyük toplardamardır.;;Ders kitabı s.131;;;
vena_cava_inferior;learn;entry;vessel;Alt ana toplardamar;Circulatory System;Heart_External;"heart; vessel; vein";Alt ana toplardamar, vücudun alt bölgelerinden gelen oksijeni azalmış kanı kalbin sağ kulakçığına taşıyan büyük toplardamardır.;;Ders kitabı s.131;;;
aorta;learn;entry;vessel;Aort;Circulatory System;Heart_External;"heart; vessel; artery; aorta";Aort, kalpten çıkan en büyük atardamardır.;"[""Sol karıncıktan çıkan oksijen bakımından zengin kanı tüm vücuda taşır."" , ""Aort, sistemik dolaşımın başlangıç damarıdır.""]";Ders kitabı s.131;;;
pulmonary_vein;learn;entry;vessel;Akciğer toplardamarı;Circulatory System;Heart_External;"heart; vessel; vein; pulmonary";Akciğer toplardamarı, akciğerlerde oksijenlenen kanı kalbin sol kulakçığına taşıyan damardır.;"[""Akciğerlerden gelen oksijen bakımından zengin kanı kalbe getirir."", ""Diğer toplardamarlardan farklı olarak oksijen bakımından zengin kan taşır.""]";Ders kitabı s.131;;;
heart_valves;learn;entry;structure;Kalbin kapakları;Circulatory System;Heart_Internal;"heart; valve; mitral; tricuspid; aortic; pulmonary";Kalpte dört adet kapak bulunur.;"[""Bu kapakların ikisi atriyoventriküler kapaklar, ikisi ise semilunar kapaklardır."" , ""Atriyoventriküler kapaklar, kulakçıklar ile karıncıklar arasında yer alır ve mitral kapak ile triküspit kapaktan oluşur."" , ""Semilunar kapaklar ise karıncıklar ile büyük atardamarlar arasında bulunur ve aort kapağı ile pulmoner kapaktan oluşur."", ""Kalp kapakları, kalbin kasılması ve gevşemesi sırasında kanın geriye doğru akmasını engelleyerek kanın tek yönlü ilerlemesini sağlar.""]";Ders kitabı s.132;;;
coronary_arteries;learn;entry;concept;Koroner arterler;Circulatory System;Heart_External;"heart; coronary; artery; circulation";Kalp kasına oksijen bakımından zengin kan taşıyan damarlara koroner arterler denir.;"[""Koroner arterler aorttan ayrılan ilk dallardır."" , ""Sağ koroner arter kalbin sağ tarafını, sol koroner arter ise kalbin sol tarafını besler."" , ""Bu damarlarda oluşan daralma veya tıkanıklıklar kalp kasının yeterince beslenmesini engelleyebilir ve kalp krizine neden olabilir.""]";Ders kitabı s.132;;;
arteria_coronalis_dextra;learn;entry;vessel;Arteria coronalis dextra;Circulatory System;Heart_External;"heart; coronary; artery; right";Sağ koroner arter (arteria coronalis dextra), aorttan ayrılan ve kalbin sağ tarafını besleyen koroner damardır.;"[""Aorttan ayrılan ilk dallardan biridir."", ""Kalp kasına oksijen ve besin bakımından zengin kan taşır.""]";Ders kitabı s.132;;;
arteria_coronalis_sinistra;learn;entry;vessel;Arteria coronalis sinistra;Circulatory System;Heart_External;"heart; coronary; artery; left";Sol koroner arter (arteria coronalis sinistra), aorttan ayrılan ve kalbin sol tarafını besleyen koroner damardır.;"[""Kalp kasının büyük bölümüne oksijen bakımından zengin kan taşır.""]";Ders kitabı s.132;;;
vena_cordis_magna;learn;entry;vessel;Vena cordis magna;Circulatory System;Heart_External;"heart; coronary; vein";Vena cordis magna, kalp kasından toplanan kirli kanı taşıyan büyük koroner toplardamarlardan biridir.;"[""Bu damar kalbin yüzeyindeki venlerle birleşerek koroner sinüse katılır.""]";Ders kitabı s.132;;;
vena_cordis_media;learn;entry;vessel;Vena cordis media;Circulatory System;Heart_External;"heart; coronary; vein";Vena cordis media, kalp kasından gelen kirli kanı toplayan koroner toplardamarlardan biridir.;"[""Bu damar da diğer koroner venlerle birlikte koroner sinüse açılır.""]";Ders kitabı s.132;;;
vena_cordis_parva;learn;entry;vessel;Vena cordis parva;Circulatory System;Heart_External;"heart; coronary; vein";Vena cordis parva, kalp kasından gelen kirli kanı taşıyan küçük koroner toplardamarlardan biridir.;"[""Bu damar koroner venlerle birleşerek koroner sinüse katılır.""]";Ders kitabı s.132;;;
coronary_sinus;learn;entry;vessel;Sinus coronarius;Circulatory System;Heart_External;"heart; coronary; sinus";Sinus coronarius, kalp kasından gelen kirli kanın toplandığı geniş bir toplardamardır.;"[""Koroner venler burada birleşir ve kan buradan sağ atriyuma dökülür.""]";Ders kitabı s.132;;;
cardiac_cycle;learn;entry;concept;Kalbin çalışması;Circulatory System;Heart_Internal;"heart; cardiac cycle; systole; diastole";Kalp, kendine ait uyarı çıkaran hücreler sayesinde düzenli olarak kasılıp gevşer.;"[""Kalbin kasılma evresine sistol, gevşeme evresine ise diyastol denir."" , ""Ventriküller kasıldığında kan atardamarlara pompalanır, gevşediğinde ise atriyumlardan gelen kan ventriküllere dolar."" , ""Kapaklar kanın tek yönlü ilerlemesini sağlar ve geri kaçmasını engeller.""]";Ders kitabı s.134;;;
tricuspid_valve;learn;entry;structure;Triküspit kapak;Circulatory System;Heart_Internal;"heart; valve; tricuspid";Triküspit kapak, sağ kulakçık ile sağ karıncık arasında bulunan atriyoventriküler kapaktır.;"[""Ventrikül kasıldığında kanın tekrar kulakçığa geri dönmesini engeller.""]";Ders kitabı s.134;;;
mitral_valve;learn;entry;structure;Mitral kapak;Circulatory System;Heart_Internal;"heart; valve; mitral";Mitral kapak, sol kulakçık ile sol karıncık arasında bulunan atriyoventriküler kapaktır. ;"[""Kanın ventrikül kasılması sırasında sol kulakçığa geri kaçmasını engeller.""]";Ders kitabı s.134;;;
myocardium;learn;entry;structure;Myocardium;Circulatory System;Heart_Internal;"heart; muscle; myocardium";Myokard, kalbin kasılmasını sağlayan kalın kas tabakasıdır.;"[""Bu kas tabakası kasılarak kanın kalpten damarlara pompalanmasını sağlar.""]";Ders kitabı s.134;;;
arteries;learn;entry;concept;Atardamarlar;Circulatory System;Vessels;"artery; arter; vessel; blood circulation; damar";Atardamarlar, kanı kalpten dokulara ve organlara taşıyan kan damarlarıdır.;"[""Atardamarlar kalbin ventrikülleri ile bağlantılı damarlardır ve kanı kalpten uzaklaştırarak vücudun farklı bölgelerine taşırlar."", ""Sağ ventrikülden akciğerlere kirli kan taşıyan akciğer atardamarı dışında diğer tüm atardamarlar oksijen bakımından zengin temiz kan taşır."", ""Sol ventrikülden çıkan temiz kan sistol sırasında aort damarına pompalanır ve buradan vücuttaki diğer atardamarlara dağıtılır."", ""Atardamarların çapları perifer bölgelere doğru gidildikçe küçülür ve bu küçük damarlara arteriyol adı verilir."", ""Atardamarlarda kan basıncı yüksek olduğu için damar duvarları toplardamarlara göre daha kalın ve dayanıklıdır.""]";Ders kitabı s.138;;;
upper_extremity_arteries;learn;entry;concept;Üst ekstremite arterleri;Circulatory System;Upper_Extremity;"artery; arter; upper extremity; arm; kol; damar; subclavian; axillary; brachial; radial; ulnar";Üst ekstremite arterleri, omuzdan ele kadar üst ekstremiteyi besleyen atardamarlardır.;"[""Sağ ve sol köprücük altı arterleri kola doğru ilerledikçe çapları giderek küçülür ve geçtikleri bölgeye göre farklı isimler alırlar."",""Üst ekstremitede arterler sırasıyla a. subclavia, a. axillaris, a. brachialis, a. radialis ve a. ulnaris olarak devam eder."",""Bu damarlar omuz, kol, ön kol ve elin kanlanmasını sağlar.""]";Ders kitabı s.138;;;
subclavian_artery;learn;entry;vessel;A. subclavia;Circulatory System;Upper_Extremity;"artery; subclavian artery; a. subclavia; upper extremity; arter; köprücük altı atardamarı; atardamar";A. subclavia, üst ekstremiteye kan taşıyan ana arterlerden biridir.;"[""Sağ ve sol a. subclavia, üst ekstremiteye uzanan arteriyel dolaşımın başlangıç bölümünü oluşturur."",""Bu damar kola doğru ilerledikçe bulunduğu bölgeye göre isim değiştirir."",""Koltuk altı bölgesine ulaştığında a. axillaris adını alır.""]";Ders kitabı s.138;;;
axillary_artery;learn;entry;vessel;A. axillaris;Circulatory System;Upper_Extremity;"artery; arter; axillary artery; a. axillaris; koltuk altı atardamarı; upper extremity; atardamar";A. axillaris, a. subclavia'nın koltuk altı bölgesindeki devamıdır.;"[""A. subclavia, koltuk altı bölgesine geldiğinde a. axillaris adını alır."",""A. axillaris göğüs ve omuz bölgesine dallar verir."",""Bu damar kol bölgesine doğru devam ederek a. brachialis adını alır.""]";Ders kitabı s.138;;;
brachial_artery;learn;entry;vessel;A. brachialis;Circulatory System;Upper_Extremity;"artery; arter; brachial artery; a. brachialis; kol atardamarı; blood pressure; atardamar";A. brachialis, a. axillaris'in kol bölgesindeki devamıdır.;"[""A. axillaris kol bölgesine geçince a. brachialis adını alır."",""A. brachialis kol kaslarının beslenmesini sağlar."",""Tansiyon ölçümü klinikte bu damar üzerinden yapılır."",""Dirsek ön bölgesinde a. radialis ve a. ulnaris olmak üzere iki dala ayrılır.""]";Ders kitabı s.138;;;
radial_artery;learn;entry;vessel;A. radialis;Circulatory System;Upper_Extremity;"artery; arter; radial artery; a. radialis; radius; nabız; pulse; upper extremity; atardamar";A. radialis, a. brachialis'in dirsek ön bölgesinde ayrılan dallarından biridir.;"[""A. brachialis dirsek ön bölgesinde a. radialis ve a. ulnaris olarak iki dala ayrılır."",""A. radialis ön kolun ve elin bir bölümünün kanlanmasına katkı sağlar."",""A. radialis nabız almada daha sık tercih edilen damarlardan biridir.""]";Ders kitabı s.138;;;
ulnar_artery;learn;entry;vessel;A. ulnaris;Circulatory System;Upper_Extremity;"artery; arter; ulnar artery; a. ulnaris; ulna; upper extremity; atardamar";A. ulnaris, a. brachialis'in dirsek ön bölgesinde ayrılan dallarından biridir.;"[""A. brachialis dirsek ön bölgesinde iki ana dala ayrılır ve bunlardan biri a. ulnaris'tir."",""A. ulnaris ön kolun ve elin bir bölümünün kanlanmasına katkı sağlar."",""A. ulnaris, a. radialis ile birlikte el bileği ve elin beslenmesinde görev alır.""]";Ders kitabı s.138;;;
abdominal_aorta;learn;entry;concept;Karın aortu;Circulatory System;Abdomen;"artery; abdominal aorta; aorta abdominalis; circulation; abdomen; atardamar";Karın aortu, aortun diyaframdan sonra karın boşluğunda devam eden bölümüdür.;"[""Karın aortu diyaframdan başlayarak bel omurları boyunca aşağı doğru uzanır."",""Bu damar karın bölgesindeki birçok organa kan taşıyan arterlerin çıktığı ana damardır."",""Truncus coeliacus, a. mesenterica superior ve a. mesenterica inferior gibi önemli arterler karın aortundan ayrılır."",""Karın aortu yaklaşık dördüncü bel omuru hizasında ikiye ayrılarak sağ ve sol a. iliaca communis arterlerini oluşturur.""]";Ders kitabı s.138;;;
truncus_coeliacus;learn;entry;vessel;Truncus coeliacus;Circulatory System;Abdomen;"artery; truncus coeliacus; celiac trunk; abdominal aorta; atardamar";Truncus coeliacus, karın aortundan ayrılan ve üç ana dala ayrılan önemli bir arterdir.;"[""Truncus coeliacus karın aortundan ayrılır."",""Bu damar üç ana dala ayrılarak karın bölgesindeki bazı organlara kan taşır."",""Dalları mide, karaciğer ve dalak gibi organların beslenmesine katkı sağlar.""]";Ders kitabı s.138;;;
gastrica_sinistra;learn;entry;vessel;A. gastrica sinistra;Circulatory System;Abdomen;"artery; gastrica sinistra; left gastric artery; stomach; atardamar";A. gastrica sinistra, mideyi besleyen arterlerden biridir.;"[""Bu damar karın aortundan çıkan truncus coeliacusun dallarından biridir."",""Midenin üst kısmına kan taşır."",""Mide duvarının beslenmesine katkı sağlar.""]";Ders kitabı s.138;;;
hepatica_communis;learn;entry;vessel;A. hepatica communis;Circulatory System;Abdomen;"artery; hepatica communis; common hepatic artery; liver; atardamar";A. hepatica communis, karaciğeri besleyen önemli arterlerden biridir.;"[""Bu damar truncus coeliacusun ana dallarından biridir."",""Karaciğere kan taşır."",""Karaciğer dokusunun beslenmesinde görev alır.""]";Ders kitabı s.138;;;
lienalis;learn;entry;vessel;A. lienalis;Circulatory System;Abdomen;"artery; lienalis; splenic artery; spleen; pancreas; atardamar";A. lienalis, dalak ve pankreası besleyen arterlerden biridir.;"[""Bu damar truncus coeliacusun dallarından biridir."",""Dalak dokusuna kan taşır."",""Pankreasın bir bölümünün beslenmesine katkı sağlar.""]";Ders kitabı s.138;;;
mesenterica_superior;learn;entry;vessel;A. mesenterica superior;Circulatory System;Abdomen;"artery; mesenterica superior; superior mesenteric artery; intestine; atardamar";A. mesenterica superior, ince bağırsak ve kalın bağırsağın bir bölümünü besleyen arterdir.;"[""Bu damar karın aortundan ayrılır."",""İnce bağırsağa kan taşır."",""Kalın bağırsağın ilk yarısının beslenmesine katkı sağlar.""]";Ders kitabı s.138;;;
mesenterica_inferior;learn;entry;vessel;A. mesenterica inferior;Circulatory System;Abdomen;"artery; mesenterica inferior; inferior mesenteric artery; intestine; atardamar";A. mesenterica inferior, kalın bağırsağın ikinci yarısını besleyen arterdir.;"[""Bu damar karın aortundan ayrılır."",""Kalın bağırsağın alt bölümlerine kan taşır."",""Sindirim sisteminin alt kısmının beslenmesinde görev alır.""]";Ders kitabı s.138;;;
renalis;learn;entry;vessel;A. renalis;Circulatory System;Abdomen;"artery; renalis; renal artery; kidney; atardamar";A. renalis, böbreklere kan taşıyan büyük arterlerden biridir.;"[""Bu damar karın aortundan ayrılır."",""Böbreklere oksijen bakımından zengin kan taşır."",""Böbrek dokusunun beslenmesinde önemli rol oynar.""]";Ders kitabı s.138;;;
gonadal_artery;learn;entry;vessel;A. testicularis / A. ovarica;Circulatory System;Abdomen;"artery; testicular artery; ovarian artery; gonadal artery; atardamar";A. testicularis ve A. ovarica, üreme organlarını besleyen arterlerdir.;"[""Bu damarlar karın aortundan ayrılır."",""Erkeklerde testislerin kanlanmasını sağlar."",""Kadınlarda yumurtalıkların beslenmesinde görev alır.""]";Ders kitabı s.138;;;
lumbales;learn;entry;vessel;A. lumbales;Circulatory System;Abdomen;"artery; lumbales; lumbar artery; spine; atardamar";A. lumbales, bel bölgesindeki yapıları besleyen arterlerdir.;"[""Bu damarlar karın aortundan ayrılır."",""Omurilik çevresindeki kas ve dokulara kan taşırlar."",""Bel bölgesinin kanlanmasına katkı sağlarlar.""]";Ders kitabı s.138;;;
sacralis_media;learn;entry;vessel;A. sacralis media;Circulatory System;Abdomen;"artery; sacralis media; sacral artery; sacrum; atardamar";A. sacralis media, sakrum bölgesini besleyen arterdir.;"[""Bu damar karın aortunun alt kısmından ayrılır."",""Sakrum bölgesine kan taşır."",""Pelvis bölgesindeki bazı yapıların beslenmesine katkı sağlar.""]";Ders kitabı s.138;;;
phrenica_inferior;learn;entry;vessel;A. phrenica inferior;Circulatory System;Abdomen;"artery; phrenica inferior; inferior phrenic artery; diaphragm; atardamar";A. phrenica inferior, diyaframın alt kısmını besleyen arterlerden biridir.;"[""Bu damar karın aortundan ayrılır."",""Diyaframın alt yüzüne kan taşır."",""Diyafram kasının beslenmesinde görev alır.""]";Ders kitabı s.138;;;
iliaca_communis;learn;entry;vessel;A. iliaca communis;Circulatory System;Lower_Extremity;"artery; iliaca communis; common iliac artery; pelvis; atardamar";A. iliaca communis, karın aortunun ikiye ayrılmasıyla oluşan büyük arterlerden biridir.;"[""Karın aortu yaklaşık dördüncü bel omuru hizasında ikiye ayrılarak sağ ve sol a. iliaca communis arterlerini oluşturur."",""Bu arter pelvis bölgesine doğru ilerler."",""Pelvis içinde a. iliaca interna ve a. iliaca externa olmak üzere iki ana dala ayrılır.""]";Ders kitabı s.139;;;
iliaca_interna;learn;entry;vessel;A. iliaca interna;Circulatory System;Lower_Extremity;"artery; iliaca interna; internal iliac artery; pelvis; atardamar";A. iliaca interna, pelvis boşluğundaki organları besleyen arterdir.;" [""Bu damar a. iliaca communis'in dallarından biridir."",""Pelvis boşluğu içinde ilerler."",""Mesane, rektum ve pelvis kasları gibi yapılara dallar vererek bu bölgelerin beslenmesini sağlar.""]";Ders kitabı s.139;;;
iliaca_externa;learn;entry;vessel;A. iliaca externa;Circulatory System;Lower_Extremity;"artery; iliaca externa; external iliac artery; leg; atardamar";A. iliaca externa, alt ekstremiteye kan taşıyan önemli arterlerden biridir.;"[""Bu damar a. iliaca communis'in iki ana dalından biridir."",""Pelvis bölgesinden çıkarak bacaklara doğru ilerler."",""Alt ekstremitenin kanlanmasını sağlayan arteriyel dolaşımın devamını oluşturur.""]";Ders kitabı s.139;;;
femoralis;learn;entry;vessel;A. femoralis;Circulatory System;Lower_Extremity;"artery; femoralis; femoral artery; thigh; atardamar";A. femoralis, uyluk bölgesini besleyen büyük bir arterdir.;"[""A. iliaca externa uyluk bölgesine ulaştığında a. femoralis adını alır."",""Bu arter uyluk kaslarına dallar vererek bölgenin kanlanmasını sağlar."",""Uyluk boyunca aşağı doğru ilerleyerek diz bölgesine ulaşır.""]";Ders kitabı s.139;;;
poplitea;learn;entry;vessel;A. poplitea;Circulatory System;Lower_Extremity;"artery; poplitea; popliteal artery; knee; atardamar";A. poplitea, diz arkasında bulunan ve diz bölgesini besleyen arterdir.;"[""A. femoralis diz bölgesine ulaştığında a. poplitea adını alır."",""Bu arter dizin arka kısmında yer alır."",""Diz çevresindeki yapıların beslenmesini sağlar.""]";Ders kitabı s.139;;;
tibialis_anterior;learn;entry;vessel;A. tibialis anterior;Circulatory System;Lower_Extremity;"artery; tibialis anterior; anterior tibial artery; leg; atardamar";A. tibialis anterior, bacağın ön kısmını besleyen arterdir.;"[""A. poplitea baldır bölgesinde iki ana dala ayrılır."",""Bu dallardan biri a. tibialis anteriordur."",""Bacağın ön kısmındaki kasların ve dokuların beslenmesini sağlar."",""Ayak sırtında a. dorsalis pedis olarak devam eder.""]";Ders kitabı s.139;;;
